

   TypeName: System.String

Name             MemberType            Definition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
LastIndexOfAny   Method                int LastIndexOfAny(char[] anyOf), int LastIndexOfAny(char[] anyOf, int startIndex), int LastIndexOfAny(char[] anyOf, int startIndex, int count)                                                                                                                                                                                                                                                                                                                                                                                         
Normalize        Method                string Normalize(), string Normalize(System.Text.NormalizationForm normalizationForm)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PadLeft          Method                string PadLeft(int totalWidth), string PadLeft(int totalWidth, char paddingChar)                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PadRight         Method                string PadRight(int totalWidth), string PadRight(int totalWidth, char paddingChar)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Remove           Method                string Remove(int startIndex, int count), string Remove(int startIndex)                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Replace          Method                string Replace(char oldChar, char newChar), string Replace(string oldValue, string newValue)                                                                                                                                                                                                                                                                                                                                                                                                                                            
Split            Method                string[] Split(Params char[] separator), string[] Split(char[] separator, int count), string[] Split(char[] separator, System.StringSplitOptions options), string[] Split(char[] separator, int count, System.StringSplitOptions options), string[] Split(string[] separator, System.StringSplitOptions options), string[] Split(string[] separator, int count, System.StringSplitOptions options)                                                                                                                                      
StartsWith       Method                bool StartsWith(string value), bool StartsWith(string value, System.StringComparison comparisonType), bool StartsWith(string value, bool ignoreCase, cultureinfo culture)                                                                                                                                                                                                                                                                                                                                                               
Substring        Method                string Substring(int startIndex), string Substring(int startIndex, int length)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ToBoolean        Method                bool IConvertible.ToBoolean(System.IFormatProvider provider)                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ToByte           Method                byte IConvertible.ToByte(System.IFormatProvider provider)                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ToChar           Method                char IConvertible.ToChar(System.IFormatProvider provider)                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ToCharArray      Method                char[] ToCharArray(), char[] ToCharArray(int startIndex, int length)                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ToDateTime       Method                datetime IConvertible.ToDateTime(System.IFormatProvider provider)                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ToDecimal        Method                decimal IConvertible.ToDecimal(System.IFormatProvider provider)                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ToDouble         Method                double IConvertible.ToDouble(System.IFormatProvider provider)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ToInt16          Method                int16 IConvertible.ToInt16(System.IFormatProvider provider)                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ToInt32          Method                int IConvertible.ToInt32(System.IFormatProvider provider)                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ToInt64          Method                long IConvertible.ToInt64(System.IFormatProvider provider)                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ToLower          Method                string ToLower(), string ToLower(cultureinfo culture)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ToLowerInvariant Method                string ToLowerInvariant()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ToSByte          Method                sbyte IConvertible.ToSByte(System.IFormatProvider provider)                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ToSingle         Method                float IConvertible.ToSingle(System.IFormatProvider provider)                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ToString         Method                string ToString(), string ToString(System.IFormatProvider provider), string IConvertible.ToString(System.IFormatProvider provider)                                                                                                                                                                                                                                                                                                                                                                                                      
ToType           Method                System.Object IConvertible.ToType(type conversionType, System.IFormatProvider provider)                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ToUInt16         Method                uint16 IConvertible.ToUInt16(System.IFormatProvider provider)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ToUInt32         Method                uint32 IConvertible.ToUInt32(System.IFormatProvider provider)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ToUInt64         Method                uint64 IConvertible.ToUInt64(System.IFormatProvider provider)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ToUpper          Method                string ToUpper(), string ToUpper(cultureinfo culture)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ToUpperInvariant Method                string ToUpperInvariant()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Trim             Method                string Trim(Params char[] trimChars), string Trim()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
TrimEnd          Method                string TrimEnd(Params char[] trimChars)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
TrimStart        Method                string TrimStart(Params char[] trimChars)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Chars            ParameterizedProperty char Chars(int index) {get;}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Length           Property              int Length {get;}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       


